Company,Primary Sector,Tags,Short Description,Country,Region,Date,Quarter,Amount ($),Investment Type,TPIC,Corp Investor?,Investor 1,Investor 2,Investor 3,Investor 4,Investor 5,Investor 6,Investor 7,Investor 8,Investor 9,Investor 10,Investor 11,Investor 12,Investor 13
FarmedHere,Agriculture & Food,"Agriculture & Food,Aquaponics,Crops,Indoor Cultivation Systems,Local Food Sourcing,Vertical Farming",Provider of fresh-locally grown vegetables to supermarkets in the Illinois area,United States,North America,2014/09/19,3Q14,"$3,000,000",Series B,"$3,000,000",No,,,,,,,,,,,,,
Graphene Technologies,Advanced Materials,"Advanced Materials,Fullerenes,Graphene,Hardware,Nanomaterials",Graphene Technologies has developed a graphene synthesis technology that scalably produces high quality graphene and unique graphene composites using carbon dioxide (CO2) as a feedstock.,United States,North America,2014/03/04,1Q14,"$3,000,000",Series A,"$7,250,000",No,,,,,,,,,,,,,
NewCO2Fuels,Other Cleantech,"Advanced Materials,Air,Carbon Capture and Sequestration (CCS),Carbon Dioxide (CO2),Conventional Fuels,GTL,Gasification,Hardware,Liquefaction,Other Cleantech,Pollution Prevention,Solar,Solar Thermal,Solar Thermal Process Heat / Steam,Syngas",Developer of technology that uses thermal energy from renewable sources to convert CO2 emissions into fuel,Israel,Europe & Israel,2014/06/15,2Q14,"$3,000,000",Series B,"$12,000,000",No,,,,,,,,,,,,,
Other Machine,Advanced Materials,"3D Printing,Advanced Manufacturing,Advanced Materials,Hardware",Developer of a desktop 3D-cutter,United States,North America,2014/06/19,2Q14,"$3,000,000",Series A,"$3,311,000",No,Slow Ventures,VegasTechFund,Core Ventures Group,Allegro Venture Partners,CrunchFund,,,,,,,,
Paper Battery Company,Energy Storage,"Capacitors,Consumer Electronics Energy Storage,Energy Storage,Hardware,Mechanical/Electrical Storage","Developer of a printed thin and flexible, patternable supercapacitor that can be used to extend battery life",United States,North America,2014/06/09,2Q14,"$3,000,000",Series A,"$5,822,414",No,Caerus Ventures,TYLT Lab,Tom Baruch,,,,,,,,,,
PsomasFMG,Solar,"Commercial Scale,Downstream PV,Financing,Ground-Mounted PV,Photovoltaics (PV),Project Development,Rooftop PV,Solar,Systems Integration","Developer of large commercial scale solar power projects with a focus on government, education, and commercial markets",United States,North America,2014/01/09,1Q14,"$3,000,000",Series A,"$10,000,000",No,,,,,,,,,,,,,
RigUp,Conventional Fuels,"Conventional Fuels,Digital Oilfield,Networking & Communication,Oil & Gas,Software,Workflow & Knowledge Management",Developer of a software platform for oil rig logistics,United States,North America,2014/06/04,2Q14,"$3,000,000",Seed,"$3,000,000",No,Founders Fund,BoxGroup,Great Oaks Venture Capital,,,,,,,,,,
Terralux,Energy Efficiency,"Energy Efficiency,Hardware,Lighting,Smart Buildings,Smart Home",Developer and manufacturer of LED based lighting subsystems,United States,North America,2014/07/17,3Q14,"$3,000,000",Growth Equity,"$33,450,000",No,,,,,,,,,,,,,
WeSpire,Energy Efficiency,"Cleanweb,Energy Efficiency,Other Cleantech,Software",Cloud-based engagement platform that companies use to engage employees in sustainability and other positive behavior change initiatives ,United States,North America,2014/01/31,1Q14,"$3,000,000",Series A,"$4,750,000",No,Pan Asia Solar,Clean Energy Venture Group,CommonAngels,Launchpad Venture Group,,,,,,,,,
Cobalt Technologies,Biofuels & Biochemicals,"Agricultural Residue,Biochemical Deconstruction,Biochemicals,Biofuel Conversion,Biofuels & Biochemicals,Biological Conversion,Biomass Deconstruction,Butanol,Cellulosic Biomass,Drop-in Fuels,Fermentation,Forest Residue,Hydrolysis,Industrial Biotech,Non-Food Crops","Developer of a commercial biobutanol production process which increases yield and fermentation rates, and reduces water and energy requirements",United States,North America,2014/05/28,2Q14,"$2,891,851",Growth Equity,"$106,487,005",No,VantagePoint Capital Partners,Pinnacle Ventures,,,,,,,,,,,
VIA Motors,Transportation,"Drive Train,Electric Vehicles,Hardware,Light-Weight Truck,Passenger Car,Transportation,Vehicle Components","Developer of electric range-extended vehicles, specifically trucks and SUVs",United States,North America,2014/04/16,2Q14,"$2,886,786",Series B,"$54,267,164",No,,,,,,,,,,,,,
LineaZen,Advanced Materials,"Advanced Materials,Framing,Green Building & Construction",Designer and manufacturer of integrated wooden building systems using sustainable cross laminated timber made of bamboo or beech,France,Europe & Israel,2014/09/18,3Q14,"$2,840,000",Growth Equity,"$4,410,000",No,CapAgro,Emertec,Forinvest,,,,,,,,,,
Grafoid,Advanced Materials,"Advanced Materials,Fullerenes,Graphene,Nanomaterials","Researcher, developer and investor in processes that produce economically scalable graphene",Canada,North America,2014/07/08,3Q14,"$2,775,000",Growth Equity,"$6,307,000",No,PHX Financial,,,,,,,,,,,,
Consumer Physics,Agriculture & Food,"Agriculture & Food,Food Safety,Hardware,Software",,United States,North America,2014/06/15,2Q14,"$2,760,000",Seed,"$3,760,000",No,Kickstarter,,,,,,,,,,,,
AirSynergy,Wind,"Hardware,Horizontal Axis Wind Turbine,Large-Scale Wind,Onshore Wind,Small-Scale Wind,Wind",Developer of shrouded wind turbine technology for distributed generation applications,Ireland,Europe & Israel,2014/02/28,1Q14,"$2,750,000",Series B,"$6,750,000",No,Daniel Ahern,Gerry Ryan,Brendan Ahern,,,,,,,,,,
Algaeon,Agriculture & Food,"Agriculture,Agriculture & Food,Algae,Animal Feed & Supplements,Animal Health,Aquaculture,Biofuels & Biochemicals,Cattle,Dairy,Feedstock Producer,Industrial Biotech,Livestock,Livestock Types,Oils,Pigs",Developer of algae-based animal feed and nutraceuticals,United States,North America,2014/05/12,2Q14,"$2,750,000",Growth Equity,"$4,401,062",No,City Securities Corporation,BioCrossroads,Bromet Capital Partners,,,,,,,,,,
Edisun Heliostats,Solar,"Concentrating Solar Power (CSP),Hardware,Solar,Solar Power Tower,Solar Thermal",Developer of heliostat technology for solar thermal power applications,United States,North America,2014/04/17,2Q14,"$2,750,000",Series A,"$4,175,000",No,Idealab,,,,,,,,,,,,
G2mobility,Transportation,"Charge Stations & Infrastructure,Hardware,Transportation,Transportation Infrastructure",Developer of electric vehicle charging infrastructure and provider of electrical mobility solutions,France,Europe & Israel,2014/05/12,2Q14,"$2,750,000",Series A,"$2,750,000",No,BPIFrance,Innovacom S.A.,CDC Climat,,,,,,,,,,
Qualisteo,Smart Grid,"Building Energy Management Systems,Commercial Buildings,Energy Efficiency,Enterprise Energy Management,Internet of Things,Power Grid,Smart Buildings,Smart Grid,Software",Developer of a monitoring and control system for affordable building energy efficiency management,France,Europe & Israel,2014/02/17,1Q14,"$2,750,000",Series A,"$2,750,000",No,Demeter Partners,Emertec,,,,,,,,,,,
Microphyt,Biomass Generation,Biomass Generation,Industrial scale producer of microalgaes biomass and extract,France,Europe & Israel,2014/02/24,1Q14,"$2,740,000",Series A,"$2,740,000",No,CEA Investissement,Sofimac Partners,Soridec,,,,,,,,,,
GroundMetrics,Conventional Fuels,"Conventional Fuels,Digital Oilfield,Exploration & Geoscience,Geothermal,Life of Field Monitoring,Oil & Gas,Oil & Gas Production,Water & Wastewater","Provider of  survey and monitoring services for mineral, oil & gas, geothermal, and groundwater exploration, management and production, in addition to shale oil/gas basin and permafrost mapping, among other applications",United States,North America,2014/04/23,2Q14,"$2,730,000",Series B,"$7,623,590",No,Cowboy Technology Angels,,,,,,,,,,,,
Exoes,Energy Efficiency,"Energy Efficiency,Hardware,Industrial Efficiency,Waste Heat Recovery",Developer of a compact heat to power engine,France,Europe & Israel,2014/05/28,2Q14,"$2,720,000",Growth Equity,"$3,740,000",No,Credit Agricole,Monestier Capital,,,,,,,,,,,
BoMill,Agriculture & Food,"Agriculture & Food,Crop Types,Crops,Food Processing,Grains","Developer of TriQ technology that analyses and identifies each kernel of a batch of grain, seeds or other granular material and segregates them",Sweden,Europe & Israel,2014/07/04,3Q14,"$2,700,000",Growth Equity,"$2,700,000",No,Industrifonden,,,,,,,,,,,,
Micropelt,Energy Efficiency,"Commercial Buildings,Efficient Electronics,Efficient Heating & Cooling,Energy Efficiency,Smart Buildings",Developer of thermal energy harvesting and perpetual power supplies for self contained devices,Germany,Europe & Israel,2014/06/03,2Q14,"$2,700,000",Growth Equity,"$11,280,000",Yes,Ludgate Investments,Wika,,,,,,,,,,,
OpenField,Conventional Fuels,"Conventional Fuels,Hardware",developer of micro instruments for measurement in harsh environments,France,Europe & Israel,2014/05/06,2Q14,"$2,700,000",Growth Equity,"$2,700,000",Yes,Total Energy Ventures,,,,,,,,,,,,
Redlen Technologies,Solar,"Cadmium Telluride (CdTe),PV Thin Film,Photovoltaics (PV),Solar",Manufacturer of high resolution semiconductor radiation detectors and advanced thin film solar feedstock products.,Canada,North America,2014/02/14,1Q14,"$2,700,000",Growth Equity,"$8,200,000",No,,,,,,,,,,,,,
Scutum,Transportation,"Electric Vehicles,Hardware,Scooter,Transportation",Maker of electric scooters,Spain,Europe & Israel,2014/04/17,2Q14,"$2,700,000",Series A,"$2,700,000",Yes,Caixa Capital Risc,Repsol New Energy Ventures,CDTI-Centro Para El Desarrollo Technologico Industrial,,,,,,,,,,
Volta Charging,Transportation,"Services,Transportation",Promoter of free electric vehicle charging through partnerships with advertising sponsors,United States,North America,2014/06/16,2Q14,"$2,700,000",Seed,"$2,700,000",No,,,,,,,,,,,,,
640Labs,Agriculture & Food,"Agriculture & Food,Crops,Precision Agriculture,Sensors,Software","Provides a tool for farmers and ag professionals using analytics, mobile technologies and cloud computing",United States,North America,2014/07/07,3Q14,"$2,650,000",Seed,"$2,650,000",No,,,,,,,,,,,,,
Farmeron,Agriculture & Food,"Agriculture & Food,Agriculture Software,Cleanweb,Crops,Software",Developer of software to help farmers manage resources and track production,United States,North America,2014/06/04,2Q14,"$2,650,000",Seed,"$4,258,689",No,NextView Ventures,SoftTech VC,,,,,,,,,,,
Shuddle,Transportation,"Software,Transportation",Developer of an app to coordinate rideshare for children between various activities,United States,North America,2014/04/28,2Q14,"$2,650,000",Seed,"$2,650,000",No,Forerunner Ventures,,,,,,,,,,,,
LeddarTech,Energy Efficiency,"Energy Efficiency,Hardware,Lighting","Provider of detection and ranging systems based on LED lighting for transportation, automotive and industrial markets.",Canada,North America,2014/11/18,4Q14,"$7,000,000",Series B,"$9,500,000",No,Business Development Bank of Canada (BDC) Venture Capital,GO Capital,,,,,,,,,,,
Methes Energies,Biofuels & Biochemicals,"Biodiesel,Biofuels & Biochemicals,Hardware,Industrial Biotech,Services,Software,Turnkey Developer",Provider of solutions to biodiesel producers,United States,North America,2014/01/14,1Q14,"$2,612,321",Series B,"$4,312,321",No,,,,,,,,,,,,,
Swift Navigation,Agriculture & Food,"Agriculture & Food,Crops,Hardware,Precision Agriculture,Steering Guidance,UAV",Developer of an affordable centimeter accurate GPS chip,United States,North America,2014/08/21,3Q14,"$2,600,000",Series A,"$2,766,000",Yes,First Round Capital,Fall Line Capital,Felicis Ventures,Lemnos Labs,Qualcomm Ventures,VegasTechFund,Kal Vepuri,,,,,,
Skeleton Technologies,Energy Storage,"Capacitors,Energy Storage,Grid Energy Storage,Hardware,Mechanical/Electrical Storage,Power Grid",Europe's leading manufacturer and developer of ultracapacitors. Companies SkelCap ultracapactiors are based on patented materials technology and novel ultracapacitor design. Based in,Germany,Europe & Israel,2014/08/01,3Q14,"$2,550,000",Series A,"$5,450,000",No,Up Invest,,,,,,,,,,,,
enModus,Energy Efficiency,"Cleanweb,Energy Efficiency,Internet of Things,PLC,Smart Buildings,Smart Home,Software",Developer of connected home technology,United Kingdom,Europe & Israel,2014/02/17,1Q14,"$2,510,000",Seed,"$4,110,000",No,Andromeda Capital,Finance Wales,,,,,,,,,,,
American Aerogel,Advanced Materials,"Advanced Materials,Polymers",Developer of aerogel insulation solutions for shipping bio-pharmaceuticals and refrigeration,United States,North America,2014/04/18,2Q14,"$2,500,000",Growth Equity,"$31,190,811",No,Mount Royal Ventures,,,,,,,,,,,,
Boatbound,Transportation,"Cleanweb,Shipping & Watercraft,Software,Transportation",Developer of online peer-to-peer marketplace for boat rentals,United States,North America,2014/04/02,2Q14,"$2,500,000",Series A,"$3,500,000",Yes,Brunswick Corporation,OurCrowd,Laszlo Bock,John Thomas,,,,,,,,,
eCurv,Energy Efficiency,"Commercial Buildings,Energy Efficiency,Smart Buildings,Software",Developer of commercial building energy management software,United States,North America,2014/06/24,2Q14,"$2,500,000",Series A,"$2,500,000",Yes,Constellation Technology Ventures,Vodia Ventures,Massachusetts Clean Energy Center (MassCEC),,,,,,,,,,
Lightning Hybrids,Transportation,Transportation,"Lightning Hybrids makes innovative hydraulic hybrid drive and brake retarder systems for fleet vehicles like shuttle buses, delivery vehicles and work trucks.",United States,North America,2014/11/05,4Q14,,Growth Equity,"$750,000",No,,,,,,,,,,,,,
Luxe,Transportation,"Parking Management,Software,Transportation,Transportation Software",Provider of on demand valet services via an app,United States,North America,2014/10/24,4Q14,"$5,500,000",Seed,"$5,500,000",Yes,Google Ventures,Sherpa Ventures,Redpoint Ventures,Lightspeed Venture Partners,Upfront Ventures,Foundation Capital,BoxGroup,Slow Ventures,Data Collective,Eniac Ventures,,,
Sensys Networks,Transportation,"Cleanweb,Congestion Monitoring,Internet of Things,Traffic Monitoring,Transportation,Transportation Software","Developer of traffic management systems using wireless, pavement-mounted sensors to detect vehicles",United States,North America,2014/03/10,1Q14,"$2,500,000",Growth Equity,"$22,100,000",Yes,Horizon Ventures,Siemens Venture Capital (SVC),Voyager Capital,Fuse Capital,,,,,,,,,
Metal Membranes,Water & Wastewater,"Advanced Materials,Filtration / Separation / Purification,Industrial Water,Membrane Water Treatment,Water & Wastewater",Manufacturer of inorganic porous membrane technology for liquid and gas filtration,Netherlands,Europe & Israel,2014/10/27,4Q14,,Growth Equity,,No,ICOS Capital,,,,,,,,,,,,
MicaSense,Agriculture & Food,"Agriculture & Food,Crops,Precision Agriculture,Sensors,UAV",Developer of sensors for use by UAV systems in agricultural analysis,United States,North America,2014/11/24,4Q14,"$2,000,000",Series A,"$2,000,000",Yes,Parrot,,,,,,,,,,,,
TrickleStar,Energy Efficiency,"Building Energy Management Systems,Commercial Buildings,Energy Efficiency,Enterprise Energy Management,Hardware,Smart Buildings",Manufacturer of sensor-enabled power strips designed to eliminate stand-by power draw,United States,North America,2014/08/27,3Q14,"$2,500,000",Series B,"$5,500,000",No,Law Cheok Chin,,,,,,,,,,,,
Breakwater Valve Systems,Water & Wastewater,"Conventional Fuels,Hardware,Industrial Water,Oil & Gas,Oil & Gas Production,Produced Water,Wastewater Treatment,Water & Wastewater,Water Technology Vendor",Developer of micro-cavitation technology for treatment of oilfield produced water,United States,North America,2014/04/22,2Q14,"$2,490,000",Seed,"$2,490,000",No,,,,,,,,,,,,,
Multiphoton Optics,Advanced Materials,Advanced Materials,provider 3D Lithography Equipment for manufacturing of optical packages,Germany,Europe & Israel,2014/12/11,4Q14,"$915,000",Seed,"$915,000",No,High-Tech Gründerfonds Management,Fraunhofer Venture Group,,,,,,,,,,,
Ynsect,Biofuels & Biochemicals,"Agriculture,Agriculture & Food,Aquaculture,Biofuels & Biochemicals,Biotechnology,Biotechnology Developer,Industrial Biotech","Developer of bioconversion solutions of organic resources by insects for feed and non-food applications (organic fertilizers, bioenergy…)",France,Europe & Israel,2014/03/04,1Q14,"$2,474,000",Seed,"$9,324,000",No,Emertec,Demeter Partners,,,,,,,,,,,
Nagare Membranes,Water & Wastewater,"Desalination,Membrane Water Treatment,Water & Wastewater",Developer of membranes for desalinization,United States,North America,2014/12/08,4Q14,"$10,500,000",Series A,"$10,500,000",No,,,,,,,,,,,,,
Enertime,Energy Efficiency,"Biomass Generation,Concentrating Solar Power (CSP),Energy Efficiency,Geothermal,Hardware,Industrial Efficiency,Waste Heat Recovery","Provider of proprietary Organic Rankine Cycle technology for MW-size waste heat recovery, geothermal, biomass and solar thermal applications",France,Europe & Israel,2014/07/22,3Q14,"$2,420,000",Series B,"$4,220,000",No,Siparex,Calao Finance,,,,,,,,,,,
BiologiQ,Biofuels & Biochemicals,"Advanced Materials,Bio-based Plastics,Biochemicals,Biodegradable Products,Biofuels & Biochemicals,Hardware,Industrial Biotech,Plastics,Polymers,Polymers & Coatings,Recycling & Waste",Maker of biodegradable plastic resins from renewable resources,United States,North America,2014/01/15,1Q14,"$2,406,000",Growth Equity,"$5,706,000",No,,,,,,,,,,,,,
BrightFarms,Agriculture & Food,"Agriculture & Food,Crops,Greenhouses,Hardware,Hydroponics,Indoor Cultivation Systems","Designer, builder and operator of hydroponic greenhouse farms at supermarkets",United States,North America,2014/06/04,2Q14,"$2,400,000",Series B,"$11,600,000",No,Emil Capital Partners,NGEN Partners,WP Global Partners,,,,,,,,,,
Native Traits,Agriculture & Food,"Agriculture & Food,Crops,Industrial Biotech,Plant Genomics,Precision Agriculture",Developer of drought and heat resistant corn traits,United States,North America,2014/12/19,4Q14,"$250,000",Seed,"$250,000",No,,,,,,,,,,,,,
Onzo,Energy Efficiency,"Cleanweb,Energy Analytics,Energy Efficiency,Energy Services,Smart Buildings,Smart Home",Onzo is a global leader in big data and analytics for utilities,United Kingdom,Europe & Israel,2014/06/23,2Q14,"$2,400,000",Series B,"$6,388,220",No,West Coast Capital,Cipio Partners,,,,,,,,,,,
GroundMetrics,Conventional Fuels,"Conventional Fuels,Digital Oilfield,Exploration & Geoscience,Geothermal,Life of Field Monitoring,Oil & Gas,Oil & Gas Production,Water & Wastewater","Provider of  survey and monitoring services for mineral, oil & gas, geothermal, and groundwater exploration, management and production, in addition to shale oil/gas basin and permafrost mapping, among other applications",United States,North America,2014/03/10,1Q14,"$2,357,702",Series A,"$7,623,590",No,Tech Coast Angels,,,,,,,,,,,,
Finally,Energy Efficiency,"Energy Efficiency,Hardware,Lighting,Smart Buildings,Smart Home",Provider of efficient light bulb technology,United States,North America,2014/09/23,3Q14,"$2,335,000",Series B,"$23,391,000",No,,,,,,,,,,,,,
Eco-Stim Energy Solutions,Conventional Fuels,"Conventional Fuels,Oil & Gas,Well Engineering",Provider of well stimulation and completion services for upstream oil and gas companies  ,United States,North America,2014/07/24,3Q14,"$2,302,000",Growth Equity,"$2,302,000",No,,,,,,,,,,,,,
Navdy,Transportation,"Hardware,Transportation",Provider of Head-Up Display unit for automotive industry,United States,North America,2014/10/02,4Q14,"$6,500,000",Seed,"$6,500,000",No,wareness.io,Upfront Ventures,Promus Ventures,Eniac Ventures,Ludlow Ventures,MESA+,Lightbank,Dan Shapiro,Naval Ravikant,Shervin Pishevar,Brad Feld,Eric Ries,Semil Shah
Neurio,Energy Efficiency,"Energy Analytics,Energy Efficiency,Hardware,In-Home Displays,Smart Buildings,Smart Home",Manufacturer of home metering products,Canada,North America,2014/12/16,4Q14,"$1,500,000",Seed,"$1,770,614",No,Business Development Bank of Canada (BDC) Venture Capital,,,,,,,,,,,,
FINsix,Energy Efficiency,"Efficient Electronics,Energy Efficiency,Hardware",Developer of power supply systems based on VHF switching architecture previously known as OnChipPower,United States,North America,2014/08/19,3Q14,"$2,260,000",Growth Equity,"$10,903,435",No,,,,,,,,,,,,,
NexDefense,Smart Grid,"Conventional Fuels,Grid Security,Power Grid,Smart Grid",Developer of cybersecurity solutions for automation and control systems,United States,North America,2014/12/03,4Q14,"$2,400,000",Series A,"$2,400,000",No,Mosley Ventures,Buckhead Investment Partners,,,,,,,,,,,
Vital Farms,Agriculture & Food,"Agriculture & Food,Livestock,Livestock Types,Poultry",Developer of sustainable agricultural techniques,United States,North America,2014/09/19,3Q14,"$2,250,000",Growth Equity,"$9,100,000",No,,,,,,,,,,,,,
Eos Energy Storage,Energy Storage,"Batteries,Electrochemical Storage,Energy Storage,Grid Energy Storage,Hardware,Power Grid,Vehicle Energy Storage,Zinc-Based Batteries","Developer of a proprietary rechargeable zinc-air battery technology for utility, automotive, commercial applications",United States,North America,2014/07/07,3Q14,"$2,225,000",Series B,"$28,620,860",No,,,,,,,,,,,,,
TechShop,Other Cleantech,"Other Cleantech,Services","membership-based, DIY workshop and fabrication studio",United States,North America,2014/05/06,2Q14,"$2,219,503",Growth Equity,"$4,148,310",No,,,,,,,,,,,,,
Next Step Living,Energy Efficiency,"Cleanweb,Energy Analytics,Energy Efficiency,Global Cleantech 100 (2013),Services,Smart Buildings,Smart Home,Software",Developer of whole-home energy solutions,United States,North America,2014/12/08,4Q14,"$4,000,000",Growth Equity,"$64,252,986",No,,,,,,,,,,,,,
Canibal,Recycling & Waste,"Collection,Hardware,Metals / Alloys,Plastics,Recycling,Recycling & Waste",Developer of consumer-oriented machines for recycling cups and cans,France,Europe & Israel,2014/09/08,3Q14,"$2,193,000",Growth Equity,"$7,038,000",No,SmartAngels,Financiere Fonds Prives,,,,,,,,,,,
Virtual Power Systems,Energy Efficiency,"Cleanweb,Data Center Infrastructure Management,Energy Efficiency,Green IT,Software",Developer of power management software and infrastructure toward more efficient data centers,United States,North America,2014/02/20,1Q14,"$2,184,000",Series A,"$3,479,000",No,IndoUS Venture Partners,,,,,,,,,,,,
Silatronix,Advanced Materials,"Advanced Materials,Electrochemical Storage,Energy Storage",Developer of organosilicon (OS) materials for energy storage applications including lithium-ion battery electrolytes,United States,North America,2014/08/08,3Q14,"$2,140,000",Series A,"$4,653,000",No,,,,,,,,,,,,,
Stratos Fuel,Fuel Cells & Hydrogen,"Fuel Cells & Hydrogen,Hardware,Hydrogen,Transportation,Transportation Infrastructure",Builder of a network of hydrogen refueling stations to meet the fuel cell vehicle demand of tomorrow,United States,North America,2014/05/01,2Q14,"$2,125,000",Seed,"$2,125,000",No,California Energy Commission,,,,,,,,,,,,
Ecovent,Energy Efficiency,"Energy Efficiency,Hardware,Smart Buildings,Smart Home,Software",Developer of a smart home heating and cooling system,United States,North America,2014/09/18,3Q14,"$2,100,000",Seed,"$2,705,000",No,Otter Consulting,Semyon Dukach,Stewart Alsop,Julia Austin,Will Herman,Warren Katz,Michael Mark,,,,,,
Illumitex,Energy Efficiency,"Agriculture & Food,Commercial Buildings,Crops,Energy Efficiency,Indoor Cultivation Systems,Lighting,Smart Buildings",Provider of solid-state lighting systems,United States,North America,2014/03/11,1Q14,"$2,066,851",Growth Equity,"$34,436,851",Yes,Apex Venture Partners,Mercury Fund,New Enterprise Associates (NEA),Morgan Creek Capital Management,Mousse Partners,Syngenta Ventures,,,,,,,
Oxxa,Recycling & Waste,Recycling & Waste,Provider of plastic waste recycling solutions,France,Europe & Israel,2014/02/07,1Q14,"$2,060,000",Growth Equity,"$2,060,000",No,Entrepreneur Venture,,,,,,,,,,,,
Midwestern BioAg,Agriculture & Food,"Agriculture & Food,Animal Feed & Supplements,Animal Health,Crop Types,Crops,Fertilizers,Field Treatments,Hardware,Industrial Biotech,Livestock,Services,Specialty Crops",,United States,North America,2014/06/19,2Q14,"$2,055,000",Series A,"$2,055,000",No,,,,,,,,,,,,,
Initiatives & Energies Locales (IEL),Other Cleantech,"Biomass Generation,Commercial Scale,Downstream PV,Ground-Mounted PV,Operation & Maintenance (O&M),Other Cleantech,Photovoltaics (PV),Project Development,Residential Scale,Rooftop PV,Solar,Systems Integration,Wind",Developer of renewable energy projects in the west of France,France,Europe & Israel,2014/01/23,1Q14,"$2,053,000",Growth Equity,"$2,053,000",Yes,FSI Regions,Esfin Participations,BPIFrance,,,,,,,,,,
Grove,Agriculture & Food,"Agriculture & Food,Agriculture Software,Crops,Indoor Cultivation Systems,Software",Developer of software and appliance for individual scale urban farming,United States,North America,2014/05/29,2Q14,"$2,050,000",Seed,"$2,050,000",No,Upfront Ventures,Felicis Ventures,Vayner RSE,,,,,,,,,,
Bio-UV,Water & Wastewater,"Ballast Water,Disinfection,Filtration / Separation / Purification,Process Water,Residential/Commercial Water,UV Treatment,Wastewater Treatment,Water & Wastewater,Water Reclamation / Reuse",Manufacturer of ultraviolet water treatment equipment for a wide variety of applications,France,Europe & Israel,2014/05/30,2Q14,"$2,046,000",Growth Equity,"$2,046,000",No,ACE Management,,,,,,,,,,,,
Wattmobile,Transportation,Transportation,Provider of electric car rental services located in French train stations. ,France,Europe & Israel,2014/07/04,3Q14,"$2,040,000",Series B,"$2,040,000",Yes,FullCharger,EADS Développement,SNCF Développement,Crédit Coopératif,Total Développement Régional,,,,,,,,
NFR Bioenergy,Recycling & Waste,"Agricultural Waste,Recycling & Waste",Producer of fuel pellets from sugarcane waste,United States,North America,2014/10/09,4Q14,"$1,410,000",Seed,"$1,410,000",No,Loeb Partners,,,,,,,,,,,,
AbCelex Technologies,Agriculture & Food,"Agriculture & Food,Food Safety",Developer of food born illness treatment and detection systems,Canada,North America,2014/05/08,2Q14,"$2,000,000",Series A,"$2,000,000",No,Cultivian Sandbox,,,,,,,,,,,,
AcousticEye,Other Cleantech,"Conventional Fuels,Digital Oilfield,Networking & Communication,Oil & Gas,Other Cleantech,Pipeline / Storage,Pipeline / Storage Monitoring",Developer of a non-traversing tube and pipe inspection technology for the global nondestructive testing (NDT) market,United States,North America,2014/07/02,3Q14,"$2,000,000",Growth Equity,"$15,000,000",No,Roman Abramovich,,,,,,,,,,,,
Barcol-Air USA,Energy Efficiency,"Commercial Buildings,Efficient Heating & Cooling,Energy Efficiency,HVACR,Hardware,Smart Buildings",Provider of efficient heating and cooling solutions for buildings,United States,North America,2014/02/25,1Q14,"$2,000,000",Series B,"$3,000,000",No,,,,,,,,,,,,,
Connora Technologies,Advanced Materials,"Advanced Materials,Epoxies,Plastics,Polymers,Recycling,Recycling & Waste",Smarter Plastics By Design. Connora enables the unprecedented recycling of thermoset plastics for auto and aerospace composite materials.,United States,North America,2014/09/30,3Q14,"$2,000,000",Seed,"$2,850,000",Yes,"Entropy Research Labs, LLC",Alexandra McManus,Samsung Ventures,,,,,,,,,,
Noble Environmental Technologies (ECOR),Recycling & Waste,"Advanced Materials,Agricultural Waste,Consumer Products,Fibers,Framing,Green Building & Construction,Insulation,Paper,Recycling,Recycling & Waste,Reprocessing,Textiles",Manufacturer of ECOR molded fiber products from recycled by-products of forestry  & agricultural industries and recycled paper products,United States,North America,2014/10/31,4Q14,"$6,000,000",Growth Equity,"$9,100,000",No,Envisage Equity,,,,,,,,,,,,
DroneDeploy,Other Cleantech,"Agriculture & Food,Crops,Other Cleantech,Precision Agriculture,Software,UAV",Developer of software for UAVs,United States,North America,2014/09/19,3Q14,"$2,000,000",Seed,"$2,000,000",No,SoftTech VC,Draper Fisher Jurvetson (DFJ),AngelPad,Data Collective,Redpoint Ventures,,,,,,,,
EnLink Geoenergy Services,Geothermal,"Commercial Heating & Cooling,Geothermal",Installer of earth heat exchangers for geothermal heating and cooling pump systems,United States,North America,2014/02/19,1Q14,"$2,000,000",Growth Equity,"$49,450,001",No,,,,,,,,,,,,,
Novelda,Energy Efficiency,"Energy Efficiency,Smart Buildings,Smart Home",Developer of motion and biometric sensors for automation and monitoring applications,Norway,Europe & Israel,2014/12/03,4Q14,"$12,000,000",Series A,"$12,000,000",No,Investinor,Alliance Venture,SpareBank 1,,,,,,,,,,
General Fusion,Nuclear,"Hardware,Nuclear,Nuclear Fusion",Developer of magnetized target fusion energy generation with a new compression system to collapse the plasma,Canada,North America,2014/02/26,1Q14,"$2,000,000",Growth Equity,"$38,020,740",No,Chrysalix Energy Venture Capital,Braemar Energy Ventures,Entrepreneurs Fund Management,,,,,,,,,,
Off Grid Electric,Solar,"Downstream PV,Hardware,Photovoltaics (PV),Solar","Provider of off-grid, ""solar energy as a service"" mobile solutions in Africa",Tanzania,Africa,2014/12/09,4Q14,"$16,000,000",Growth Equity,"$23,150,000",Yes,Zouk Capital,SolarCity,Vulcan Capital,,,,,,,,,,
